Algoritmo,Tamanho,Caso,Tempo Insercao (ns),Tempo Busca (ns),Tempo Remocao (ns)
BST,500,Medio,1092600,248000,231200
AVL,500,Medio,1542100,200000,605900
BST,500,Pior,1816500,1041600,23400
AVL,500,Pior,206700,42700,159100
BST,1000,Medio,145100,88500,125200
AVL,1000,Medio,243300,96800,254200
BST,1000,Pior,3457500,2970300,37100
AVL,1000,Pior,233700,83700,160700
BST,1500,Medio,159300,129000,174100
AVL,1500,Medio,446400,220600,591400
BST,1500,Pior,9898600,6938900,96000
AVL,1500,Pior,237600,163500,462300
BST,2000,Medio,284000,227500,292400
AVL,2000,Medio,519800,221900,809100
BST,2000,Pior,15343300,11105200,57000
AVL,2000,Pior,193900,128100,132400
BST,2500,Medio,307900,225800,239600
AVL,2500,Medio,546600,279100,719900
BST,2500,Pior,23076200,18519100,50800
AVL,2500,Pior,161500,110800,106800
BST,3000,Medio,296400,214700,238200
AVL,3000,Medio,446500,272000,498600
BST,3000,Pior,34855400,30197300,32900
AVL,3000,Pior,296500,123900,176700
BST,3500,Medio,388100,319300,346500
AVL,3500,Medio,690100,294100,702000
BST,3500,Pior,52865800,37837700,39000
AVL,3500,Pior,336200,174500,206900
BST,4000,Medio,470800,360000,403900
AVL,4000,Medio,704500,359500,532500
BST,4000,Pior,58951500,46556800,69200
AVL,4000,Pior,363000,205200,254800
BST,4500,Medio,570300,408900,493800
AVL,4500,Medio,863600,551600,858000
BST,4500,Pior,82600000,64253300,43400
AVL,4500,Pior,287500,185200,190800
BST,5000,Medio,494300,409100,424800
AVL,5000,Medio,591100,368000,602500
BST,5000,Pior,91130600,68096000,13200
AVL,5000,Pior,425200,213100,256100
BST,5500,Medio,614000,423800,394600
AVL,5500,Medio,678000,352000,660600
BST,5500,Pior,110705000,84554500,15400
AVL,5500,Pior,327400,212600,209900
BST,6000,Medio,694500,474600,516700
AVL,6000,Medio,755200,436900,961400
BST,6000,Pior,132359100,102702900,34600
AVL,6000,Pior,653100,301900,381700
BST,6500,Medio,870600,646600,638700
AVL,6500,Medio,988300,462500,756600
BST,6500,Pior,155921600,130509600,18500
AVL,6500,Pior,398900,256000,266200
BST,7000,Medio,699200,605600,726900
AVL,7000,Medio,1049700,512900,932100
BST,7000,Pior,164112300,131229300,19600
AVL,7000,Pior,447100,303800,429700
BST,7500,Medio,780800,632900,651400
AVL,7500,Medio,954300,559800,963800
BST,7500,Pior,188442200,145215700,19700
AVL,7500,Pior,598500,301100,312300
BST,8000,Medio,906700,669600,661300
AVL,8000,Medio,970100,602900,928000
BST,8000,Pior,208661800,166443800,20100
AVL,8000,Pior,469200,289400,270000
BST,8500,Medio,795500,656700,682700
AVL,8500,Medio,966300,579500,921200
BST,8500,Pior,229503400,195162600,24000
AVL,8500,Pior,548400,344000,346400
BST,9000,Medio,966100,809100,799300
AVL,9000,Medio,1171100,738400,1387400
BST,9000,Pior,274544100,221472100,22800
AVL,9000,Pior,543700,345700,368400
BST,9500,Medio,958100,805600,831400
AVL,9500,Medio,1160200,671600,1167400
BST,9500,Pior,292130200,235501100,43400
AVL,9500,Pior,714700,418200,351800
BST,10000,Medio,1110900,887400,947300
AVL,10000,Medio,1295100,767600,1350100
BST,10000,Pior,325609400,259698700,28500
AVL,10000,Pior,660200,395600,355800
